Grapheme	IPA	FREQUENCY	EXAMPLE
a	a	178	t̪áaɾu
i	i	136	'pʰiri
p	p	76	put'i
u	u	72	put'i
k	k	65	tʃíʔka
á	á	60	t̪áaɾu
e	e	59	tʃéʔe
r	r	54	'pʰiri
n	n	50	t̪inúá
m	m	39	muʔú
í	í	37	phíit̪i
ʔ	ʔ	36	tʃéʔe
w	w	32	kewere-ri
é	é	31	tʃéʔe
ú	ú	28	t̪inúá
h	h	28	huapuku
t̪	t̪	26	phíit̪i
t	t	22	put'i
tʃ	tʃ	18	tʃéʔe
j	j	17	japi
ɾ	ɾ	13	t̪áaɾu
a:	a:	11	ka:talike
nh	nh	7	kanha
kh	kh	6	nu-khu
aa	aa	6	t̪aamana
l	l	5	ka:talike
)	<?>	5	ku(ʔ)piɾa
uu	uu	5	(ha)kapuupua
ph	ph	4	phíit̪i
]	<?>	4	te[re]
(	<?>	4	ku(ʔ)piɾa
wh	wh	4	éewhé
ó	ó	4	ówiɾo
o	o	4	ówiɾo
tʃh	tʃh	3	patʃha
[	<?>	3	te[re]
mh	mh	3	amhe
rh	rh	3	irhé
?	<?>	3	?ipapi
á:	á:	2	pá:paɾi
'a	'a	2	ku'apu
(h	<?>	2	(ha)kapuupua
i:	i:	2	ʔi:
ii	ii	2	wiirúá
'pʰ	'pʰ	1	'pʰiri
'i	'i	1	put'i
e:	e:	1	he:ma
V́	<?>	1	V́Vtʃa
V	<?>	1	V́Vtʃa
∫	∫	1	t∫a:wi
th	th	1	thu
ll	ll	1	ʔulle
s	s	1	ʔi:winási
[h	<?>	1	iká[ha]
íí	íí	1	íí
(ka	<?>	1	(ka ka)kitjihe
ka)kitjihe	ka)kitjihe	1	(ka ka)kitjihe
')	<?>	1	tu(')na
kʰ	kʰ	1	kʰovakóʔi-Jú
v	v	1	kʰovakóʔi-Jú
J	<?>	1	kʰovakóʔi-Jú
b	b	1	abe
ee	ee	1	ʔeema
d	d	1	do?ó
